game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_03_ARI_SF,2025,REG,3,2025-09-21,Sunday,16:25,ARI,SF,15.0,16.0,1.0,0.0,Levi's Stadium
2025_03_KC_NYG,2025,REG,3,2025-09-21,Sunday,20:20,KC,NYG,22.0,9.0,-13.0,0.0,MetLife Stadium
2025_03_DET_BAL,2025,REG,3,2025-09-22,Monday,20:15,DET,BAL,38.0,30.0,-8.0,0.0,M&T Bank Stadium
2025_04_SEA_ARI,2025,REG,4,2025-09-25,Thursday,20:15,SEA,ARI,23.0,20.0,-3.0,0.0,State Farm Stadium
2025_04_MIN_PIT,2025,REG,4,2025-09-28,Sunday,09:30,MIN,PIT,21.0,24.0,3.0,0.0,Acrisure Stadium
2025_04_WAS_ATL,2025,REG,4,2025-09-28,Sunday,13:00,WAS,ATL,27.0,34.0,7.0,0.0,Mercedes-Benz Stadium
2025_04_NO_BUF,2025,REG,4,2025-09-28,Sunday,13:00,NO,BUF,19.0,31.0,12.0,0.0,New Era Field
2025_04_CLE_DET,2025,REG,4,2025-09-28,Sunday,13:00,CLE,DET,10.0,34.0,24.0,0.0,Ford Field
2025_04_TEN_HOU,2025,REG,4,2025-09-28,Sunday,13:00,TEN,HOU,0.0,26.0,26.0,0.0,NRG Stadium
2025_04_CAR_NE,2025,REG,4,2025-09-28,Sunday,13:00,CAR,NE,13.0,42.0,29.0,0.0,Gillette Stadium
2025_04_LAC_NYG,2025,REG,4,2025-09-28,Sunday,13:00,LAC,NYG,18.0,21.0,3.0,0.0,MetLife Stadium
2025_04_PHI_TB,2025,REG,4,2025-09-28,Sunday,13:00,PHI,TB,31.0,25.0,-6.0,0.0,Raymond James Stadium
2025_04_IND_LA,2025,REG,4,2025-09-28,Sunday,16:05,IND,LA,20.0,27.0,7.0,0.0,SoFi Stadium
2025_04_JAX_SF,2025,REG,4,2025-09-28,Sunday,16:05,JAX,SF,26.0,21.0,-5.0,0.0,Levi's Stadium
2025_04_BAL_KC,2025,REG,4,2025-09-28,Sunday,16:25,BAL,KC,20.0,37.0,17.0,0.0,GEHA Field at Arrowhead Stadium
2025_04_CHI_LV,2025,REG,4,2025-09-28,Sunday,16:25,CHI,LV,25.0,24.0,-1.0,0.0,Allegiant Stadium
2025_04_GB_DAL,2025,REG,4,2025-09-28,Sunday,20:20,GB,DAL,40.0,40.0,0.0,1.0,AT&T Stadium
2025_04_NYJ_MIA,2025,REG,4,2025-09-29,Monday,19:15,NYJ,MIA,21.0,27.0,6.0,0.0,Hard Rock Stadium
